gen	nevals	avg     	std    	min     	max     
0  	20    	-570.868	657.691	-1473.71	437.521 
1  	52    	-1350.09	106.202	-1473.71	-1060.14
2  	54    	-1433.5 	69.9008	-1473.71	-1298.01
3  	54    	-1465.86	36.1339	-1477.84	-1308.44
4  	41    	-1491.41	38.787 	-1602.7 	-1473.71
5  	60    	-1576.12	74.7759	-1679.72	-1472.83
6  	61    	-1558.97	161.255	-1679.72	-1023.63
7  	55    	-1627.73	125.598	-1679.72	-1101.8 
8  	52    	-1672.02	23.0969	-1679.72	-1602.73
9  	62    	-1665.53	47.2776	-1679.72	-1472.83
10 	59    	-1669.38	45.0917	-1679.72	-1472.83
