gen	nevals	avg     	std    	min     	max     
0  	20    	-352.35 	1125.61	-2444.93	2020.36 
1  	75    	-1849.9 	284.98 	-2405.98	-1220.21
2  	75    	-2206.25	289.353	-2568.75	-1818.65
3  	76    	-2394.58	394.074	-3093.82	-1764.44
4  	77    	-2878.81	329.001	-3439.57	-2504.26
5  	78    	-2767.27	257.553	-3008.8 	-2121.76
6  	76    	-2652.13	347.467	-3008.8 	-1997.09
7  	75    	-2732.74	214.089	-3008.8 	-2326.75
8  	78    	-2775.85	454.564	-3586.8 	-2162.4 
9  	76    	-2912.4 	344.286	-3586.8 	-2127.35
10 	74    	-3082.15	347.652	-3586.8 	-2442.22
11 	76    	-2948.43	400.561	-3409.36	-1971.4 
12 	79    	-2834.85	457.994	-3409.36	-1859.37
13 	77    	-2901.73	404.843	-3451.71	-1825.58
14 	77    	-3080.89	360.301	-3478.94	-2233.51
15 	77    	-3095.61	355.289	-3533.07	-2281.41
