gen	nevals	avg     	std    	min     	max     
0  	20    	41.6073 	178.442	-127.234	544.144 
1  	59    	-67.1507	31.4518	-110.185	22.0493 
2  	59    	-76.5437	17.5029	-110.185	-50.5418
3  	56    	-82.735 	24.2037	-119.909	-43.9396
4  	55    	-97.0016	23.039 	-125.229	-56.4811
5  	53    	-108.986	31.2208	-173.295	-57.3625
6  	57    	-108.883	23.9715	-156.435	-63.4724
7  	56    	-121.796	19.1729	-154.205	-75.1328
8  	55    	-125.894	28.4304	-163.176	-41.6422
9  	57    	-116.248	29.6897	-153.747	-60.4928
10 	57    	-116.326	31.5393	-179.349	-65.393 
11 	57    	-124.309	29.6628	-183.522	-64.8874
12 	59    	-135.579	14.3713	-157.19 	-101.258
13 	56    	-121.783	24.9802	-148.413	-46.091 
14 	55    	-135.549	29.288 	-217.576	-69.9743
15 	57    	-142.569	44.0286	-217.576	-29.8968
